team_id,team_code,team_name,clean_sheet_rate_10,clean_sheet_rate_3,clean_sheet_rate_6,goals_against_per_match_10,goals_against_per_match_3,goals_against_per_match_6,goals_for_per_match_10,goals_for_per_match_3,goals_for_per_match_6,matches_10,matches_3,matches_6,xg_against_per_match_10,xg_against_per_match_3,xg_against_per_match_6,xg_for_per_match_10,xg_for_per_match_3,xg_for_per_match_6
1,3,Arsenal,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,1.5,2,2,2,0.1,0.1,0.1,0.94,0.94,0.94
2,7,Aston Villa,0.5,0.5,0.5,2.0,2.0,2.0,0.0,0.0,0.0,2,2,2,1.885,1.885,1.885,0.15,0.15,0.15
3,91,Bournemouth,0.0,0.0,0.0,1.5,1.5,1.5,1.0,1.0,1.0,2,2,2,2.045,2.045,2.045,1.42,1.42,1.42
4,94,Brentford,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,1.5,2,2,2,0.285,0.285,0.285,1.955,1.955,1.955
5,36,Brighton,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2,2,0.145,0.145,0.145,1.885,1.885,1.885
6,8,Chelsea,0.5,0.5,0.5,1.0,1.0,1.0,1.5,1.5,1.5,2,2,2,0.665,0.665,0.665,1.115,1.115,1.115
7,9,Coventry City,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2,2,2,1.3,1.3,1.3,0.755,0.755,0.755
8,31,Crystal Palace,0.0,0.0,0.0,3.0,3.0,3.0,0.5,0.5,0.5,2,2,2,1.665,1.665,1.665,1.325,1.325,1.325
9,11,Everton,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,2,2,2,2.06,2.06,2.06,1.495,1.495,1.495
10,54,Fulham,0.5,0.5,0.5,1.5,1.5,1.5,1.0,1.0,1.0,2,2,2,1.12,1.12,1.12,0.69,0.69,0.69
11,88,Hull City,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,1.5,2,2,2,1.56,1.56,1.56,0.9,0.9,0.9
12,40,Ipswich Town,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,2,2,2,0.33,0.33,0.33,0.895,0.895,0.895
13,2,Leeds,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,2,2,2,0.33,0.33,0.33,0.235,0.235,0.235
14,14,Liverpool,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,1.94,1.94,1.94,2.375,2.375,2.375
15,43,Man City,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2,2,2,0.655,0.655,0.655,2.23,2.23,2.23
16,1,Man Utd,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2,2,2,0.505,0.505,0.505,0.91,0.91,0.91
17,4,Newcastle,0.5,0.5,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2,2,2,2.05,2.05,2.05,1.15,1.15,1.15
18,17,Nott'm Forest,0.0,0.0,0.0,1.5,1.5,1.5,1.0,1.0,1.0,2,2,2,1.11,1.11,1.11,1.74,1.74,1.74
19,6,Spurs,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,2,2,2,2.295,2.295,2.295,0.85,0.85,0.85
20,56,Sunderland,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2,2,2,0.9,0.9,0.9,0.335,0.335,0.335
