gameweek,snapshot,arm_id,predicted_points,actual_points,lineup_points,captain_points,bench_boost_points,hit_cost,transfer_gameweek_delta_before_hit,transfer_gameweek_delta_after_hit,official_manager_points,captain_player_id,chip,leakage_safe
2,prospective/gw02/20260828T141740Z.json,system_strategy,51.982,102.0,79.0,23.0,0,0,0,0,,426,wildcard,True
2,prospective/gw02/20260828T141740Z.json,full_context_selection,50.619,91.0,68.0,23.0,0,0,0,0,,426,,True
2,prospective/gw02/20260828T141740Z.json,no_odds_selection,47.462,91.0,68.0,23.0,0,0,0,0,,426,,True
2,prospective/gw02/20260828T141740Z.json,no_external_selection,47.462,91.0,68.0,23.0,0,0,0,0,,426,,True
2,prospective/gw02/20260828T141740Z.json,quantitative_only_selection,47.462,91.0,68.0,23.0,0,0,0,0,,426,,True
2,prospective/gw02/20260828T141740Z.json,ownership_baseline,252.5,91.0,68.0,23.0,0,0,0,0,,426,,True
3,prospective/gw03/20260904T163814Z.json,system_strategy,52.989,44.0,36.0,8.0,0,0,0,0,,388,wildcard,True
3,prospective/gw03/20260904T163814Z.json,full_context_selection,49.505,35.0,33.0,2.0,0,0,0,0,,426,,True
3,prospective/gw03/20260904T163814Z.json,no_odds_selection,49.553,35.0,33.0,2.0,0,0,0,0,,426,,True
3,prospective/gw03/20260904T163814Z.json,no_external_selection,49.553,35.0,33.0,2.0,0,0,0,0,,426,,True
3,prospective/gw03/20260904T163814Z.json,quantitative_only_selection,49.553,35.0,33.0,2.0,0,0,0,0,,426,,True
3,prospective/gw03/20260904T163814Z.json,ownership_baseline,225.0,35.0,33.0,2.0,0,0,0,0,,426,,True
4,prospective/gw04/20260912T111821Z.json,system_strategy,51.758,75.0,66.0,9.0,0,0,13.0,13.0,,411,,True
4,prospective/gw04/20260912T111821Z.json,full_context_selection,47.888,66.0,57.0,9.0,0,0,0,0,,411,,True
4,prospective/gw04/20260912T111821Z.json,no_odds_selection,46.207,66.0,57.0,9.0,0,0,0,0,,411,,True
4,prospective/gw04/20260912T111821Z.json,no_external_selection,46.207,66.0,57.0,9.0,0,0,0,0,,411,,True
4,prospective/gw04/20260912T111821Z.json,quantitative_only_selection,46.207,66.0,57.0,9.0,0,0,0,0,,411,,True
4,prospective/gw04/20260912T111821Z.json,ownership_baseline,420.7,69.0,57.0,12.0,0,0,0,0,,165,,True
