model,threshold,probability_bin_lower,probability_bin_upper,rows,mean_predicted_probability,observed_return_rate,absolute_calibration_gap
player_sim,6,0.0,0.1,5816,0.04182,0.05983,0.01802
player_sim,6,0.1,0.2,3786,0.14497,0.13682,0.00815
player_sim,6,0.2,0.3,2215,0.24278,0.23792,0.00485
player_sim,6,0.3,0.4,833,0.33876,0.29892,0.03984
player_sim,6,0.4,0.5,175,0.43493,0.42286,0.01208
player_sim,6,0.5,0.6,64,0.53391,0.51562,0.01828
player_sim,6,0.6,0.7,32,0.63854,0.5625,0.07604
player_sim,6,0.7,0.8,13,0.73743,0.53846,0.19897
player_sim,6,0.8,0.9,1,0.8233,1.0,0.1767
player_sim,6,0.9,1.0,2,0.9467,1.0,0.0533
player_sim,10,0.0,0.1,12670,0.01312,0.02731,0.01419
player_sim,10,0.1,0.2,197,0.13191,0.20305,0.07114
player_sim,10,0.2,0.3,46,0.24282,0.26087,0.01805
player_sim,10,0.3,0.4,15,0.34711,0.4,0.05289
player_sim,10,0.4,0.5,7,0.46429,0.0,0.46429
player_sim,10,0.7,0.8,2,0.7783,1.0,0.2217
player_sim,15,0.0,0.1,12919,0.00148,0.00596,0.00448
player_sim,15,0.1,0.2,15,0.13177,0.2,0.06823
player_sim,15,0.2,0.3,1,0.2,0.0,0.2
player_sim,15,0.4,0.5,2,0.43835,1.0,0.56165
calibrated_player_sim,6,0.0,0.1,5665,0.04198,0.05966,0.01769
calibrated_player_sim,6,0.1,0.2,3737,0.14598,0.13219,0.01379
calibrated_player_sim,6,0.2,0.3,2268,0.24476,0.22531,0.01945
calibrated_player_sim,6,0.3,0.4,904,0.34017,0.29978,0.04039
calibrated_player_sim,6,0.4,0.5,234,0.43366,0.39744,0.03622
calibrated_player_sim,6,0.5,0.6,79,0.54406,0.51899,0.02507
calibrated_player_sim,6,0.6,0.7,26,0.64457,0.57692,0.06765
calibrated_player_sim,6,0.7,0.8,20,0.7438,0.5,0.2438
calibrated_player_sim,6,0.8,0.9,2,0.83045,1.0,0.16955
calibrated_player_sim,6,0.9,1.0,2,0.9848,1.0,0.0152
calibrated_player_sim,10,0.0,0.1,11980,0.02072,0.02387,0.00315
calibrated_player_sim,10,0.1,0.2,690,0.1341,0.08696,0.04714
calibrated_player_sim,10,0.2,0.3,137,0.23708,0.16788,0.0692
calibrated_player_sim,10,0.3,0.4,59,0.3458,0.28814,0.05766
calibrated_player_sim,10,0.4,0.5,27,0.45517,0.18519,0.26998
calibrated_player_sim,10,0.5,0.6,18,0.54528,0.33333,0.21195
calibrated_player_sim,10,0.6,0.7,8,0.63904,0.25,0.38904
calibrated_player_sim,10,0.7,0.8,8,0.74504,0.625,0.12004
calibrated_player_sim,10,0.8,0.9,3,0.85207,0.0,0.85207
calibrated_player_sim,10,0.9,1.0,7,0.9825,0.28571,0.69679
calibrated_player_sim,15,0.0,0.1,12831,0.00412,0.00538,0.00126
calibrated_player_sim,15,0.1,0.2,69,0.13893,0.08696,0.05197
calibrated_player_sim,15,0.2,0.3,15,0.24483,0.13333,0.11149
calibrated_player_sim,15,0.3,0.4,11,0.34771,0.27273,0.07498
calibrated_player_sim,15,0.4,0.5,4,0.46927,0.0,0.46927
calibrated_player_sim,15,0.5,0.6,1,0.5983,0.0,0.5983
calibrated_player_sim,15,0.6,0.7,3,0.6414,0.0,0.6414
calibrated_player_sim,15,0.7,0.8,1,0.7039,0.0,0.7039
calibrated_player_sim,15,0.9,1.0,2,1.0,1.0,0.0
component_sim,6,0.0,0.1,5918,0.05602,0.05948,0.00346
component_sim,6,0.1,0.2,4270,0.14337,0.15199,0.00862
component_sim,6,0.2,0.3,2075,0.23976,0.2506,0.01084
component_sim,6,0.3,0.4,524,0.33576,0.34733,0.01157
component_sim,6,0.4,0.5,101,0.43749,0.46535,0.02785
component_sim,6,0.5,0.6,34,0.54177,0.52941,0.01236
component_sim,6,0.6,0.7,12,0.62748,0.5,0.12748
component_sim,6,0.7,0.8,3,0.76553,1.0,0.23447
component_sim,10,0.0,0.1,12643,0.01489,0.02753,0.01264
component_sim,10,0.1,0.2,241,0.13224,0.17012,0.03788
component_sim,10,0.2,0.3,36,0.23944,0.30556,0.06611
component_sim,10,0.3,0.4,12,0.33972,0.33333,0.00639
component_sim,10,0.4,0.5,3,0.41,0.0,0.41
component_sim,10,0.5,0.6,2,0.57165,1.0,0.42835
component_sim,15,0.0,0.1,12911,0.00261,0.00589,0.00328
component_sim,15,0.1,0.2,24,0.13166,0.16667,0.035
component_sim,15,0.2,0.3,1,0.29,1.0,0.71
component_sim,15,0.3,0.4,1,0.3467,1.0,0.6533
hybrid_sim,6,0.0,0.1,5892,0.05042,0.05855,0.00814
hybrid_sim,6,0.1,0.2,4037,0.14499,0.14813,0.00314
hybrid_sim,6,0.2,0.3,2157,0.24207,0.24108,0.001
hybrid_sim,6,0.3,0.4,651,0.33639,0.33641,2e-05
